date,0
2018-03-08,4408.45654296875
2018-03-09,4477.28466796875
2018-03-10,2343.629638671875
2018-03-11,2793.26025390625
2018-03-12,4880.45654296875
2018-03-13,4586.1640625
2018-03-14,4456.537109375
2018-03-15,4567.037109375
2018-03-16,4653.3671875
2018-03-17,2034.96533203125
2018-03-18,2107.98291015625
2018-03-19,4855.583984375
2018-03-20,5386.755859375
2018-03-21,5031.0380859375
2018-03-22,4803.8896484375
2018-03-23,4262.39501953125
2018-03-24,2331.132080078125
2018-03-25,1698.444091796875
2018-03-26,4462.60888671875
2018-03-27,5012.33740234375
2018-03-28,4803.43212890625
2018-03-29,3946.384033203125
2018-03-30,3345.224365234375
2018-03-31,2407.8798828125
2018-04-01,2140.5693359375
2018-04-02,4081.515869140625
2018-04-03,4479.62744140625
2018-04-04,4488.71435546875
2018-04-05,3940.7353515625
2018-04-06,4099.9423828125
2018-04-07,2445.834228515625
2018-04-08,2869.68212890625
2018-04-09,4081.59033203125
2018-04-10,4328.1201171875
2018-04-11,4368.5966796875
2018-04-12,4327.47705078125
2018-04-13,4319.90869140625
2018-04-14,2208.081787109375
2018-04-15,1875.4432373046875
2018-04-16,5416.44091796875
2018-04-17,6061.5986328125
2018-04-18,5996.2451171875
2018-04-19,5807.14794921875
2018-04-20,4390.2119140625
2018-04-21,2740.912353515625
2018-04-22,1809.957763671875
2018-04-23,4844.720703125
2018-04-24,5028.08251953125
2018-04-25,4852.08154296875
2018-04-26,4721.15771484375
2018-04-27,3581.259521484375
2018-04-28,2169.67578125
2018-04-29,2021.8289794921875
2018-04-30,5062.82470703125
2018-05-01,4354.54150390625
2018-05-02,4353.1533203125
2018-05-03,4036.029052734375
2018-05-04,3444.639404296875
2018-05-05,1943.3199462890625
2018-05-06,2233.240478515625
2018-05-07,4245.9921875
2018-05-08,5714.46435546875
2018-05-09,6188.1865234375
2018-05-10,6461.080078125
2018-05-11,6598.044921875
2018-05-12,3327.1923828125
2018-05-13,2390.45703125
2018-05-14,5280.0244140625
2018-05-15,5783.56787109375
2018-05-16,5819.50927734375
2018-05-17,5833.43701171875
2018-05-18,5175.27783203125
2018-05-19,2956.7333984375
2018-05-20,2203.063232421875
2018-05-21,5218.23046875
2018-05-22,4929.03466796875
2018-05-23,4839.47705078125
2018-05-24,4785.34423828125
2018-05-25,3975.8076171875
2018-05-26,1879.547119140625
2018-05-27,2184.673828125
2018-05-28,5162.57568359375
2018-05-29,4963.48291015625
2018-05-30,4850.86572265625
2018-05-31,3678.79638671875
2018-06-01,4714.12890625
2018-06-02,2371.01123046875
2018-06-03,2476.88525390625
2018-06-04,6569.35986328125
2018-06-05,6742.67578125
2018-06-06,6102.8740234375
2018-06-07,5598.76904296875
2018-06-08,4831.6953125
2018-06-09,1892.9898681640625
2018-06-10,2455.0908203125
2018-06-11,7463.609375
2018-06-12,6538.8720703125
2018-06-13,6247.76904296875
2018-06-14,6029.7421875
2018-06-15,6222.4208984375
2018-06-16,2618.82958984375
2018-06-17,3012.803466796875
2018-06-18,8281.13671875
2018-06-19,6436.65234375
2018-06-20,5806.78173828125
2018-06-21,5749.85498046875
2018-06-22,5721.64501953125
2018-06-23,2193.2197265625
2018-06-24,2804.60009765625
2018-06-25,6187.75732421875
2018-06-26,4753.9609375
2018-06-27,4125.26220703125
2018-06-28,3797.910400390625
2018-06-29,2810.507080078125
2018-06-30,2392.860107421875
2018-07-01,1607.9931640625
2018-07-02,4222.01123046875
2018-07-03,4748.4306640625
2018-07-04,4599.26123046875
2018-07-05,4807.13134765625
2018-07-06,4594.52783203125
2018-07-07,2676.511474609375
2018-07-08,1482.3280029296875
2018-07-09,4299.27099609375
2018-07-10,4265.4111328125
2018-07-11,4445.22216796875
2018-07-12,4728.72802734375
2018-07-13,4705.7646484375
2018-07-14,2425.697265625
2018-07-15,2015.9986572265625
2018-07-16,5081.4267578125
2018-07-17,4688.2978515625
2018-07-18,4634.380859375
2018-07-19,4725.7236328125
2018-07-20,4744.4775390625
2018-07-21,2467.9873046875
2018-07-22,2342.279052734375
2018-07-23,3980.642578125
2018-07-24,3782.88330078125
2018-07-25,3987.8359375
2018-07-26,3922.204345703125
2018-07-27,2885.9443359375
2018-07-28,1995.291015625
2018-07-29,1868.0013427734375
2018-07-30,3053.687255859375
2018-07-31,4327.83642578125
2018-08-01,4092.009521484375
2018-08-02,4350.22900390625
2018-08-03,4095.152587890625
2018-08-04,3338.596923828125
2018-08-05,1557.7054443359375
2018-08-06,3534.8212890625
2018-08-07,4151.05517578125
2018-08-08,4266.19873046875
2018-08-09,4431.30224609375
2018-08-10,4520.4404296875
2018-08-11,2585.230712890625
2018-08-12,1694.908203125
2018-08-13,4311.251953125
2018-08-14,4490.8837890625
2018-08-15,4740.068359375
2018-08-16,4941.86328125
2018-08-17,4457.01513671875
2018-08-18,2953.28271484375
2018-08-19,2257.4638671875
2018-08-20,4238.42041015625
2018-08-21,4256.1279296875
2018-08-22,4426.302734375
2018-08-23,4946.96533203125
2018-08-24,4972.71435546875
2018-08-25,3313.431640625
2018-08-26,1995.4007568359375
2018-08-27,3868.004638671875
2018-08-28,4640.1796875
2018-08-29,5392.25
2018-08-30,5466.4521484375
2018-08-31,4635.44091796875
2018-09-01,3827.3916015625
2018-09-02,1994.8939208984375
2018-09-03,3998.912353515625
2018-09-04,4446.93603515625
2018-09-05,4541.26123046875
2018-09-06,4763.1123046875
2018-09-07,4904.33447265625
2018-09-08,3822.04931640625
2018-09-09,1975.16796875
2018-09-10,6436.07470703125
2018-09-11,5779.62158203125
2018-09-12,5270.43115234375
2018-09-13,5101.91552734375
2018-09-14,4576.84375
2018-09-15,2910.66259765625
2018-09-16,2992.3203125
2018-09-17,7968.40673828125
2018-09-18,6186.677734375
2018-09-19,5819.98291015625
2018-09-20,7419.94189453125
2018-09-21,7402.15478515625
2018-09-22,5818.97705078125
2018-09-23,3356.55126953125
2018-09-24,7911.478515625
2018-09-25,6620.67626953125
2018-09-26,5984.068359375
2018-09-27,6934.14892578125
2018-09-28,7672.16064453125
2018-09-29,4332.42041015625
2018-09-30,4531.75732421875
2018-10-01,4575.65478515625
2018-10-02,6628.64501953125
2018-10-03,6188.24755859375
2018-10-04,5127.51611328125
2018-10-05,4001.373046875
2018-10-06,3967.8662109375
2018-10-07,2345.322265625
2018-10-08,4910.455078125
2018-10-09,6130.109375
2018-10-10,5900.439453125
2018-10-11,5420.88720703125
2018-10-12,4181.69140625
2018-10-13,3134.3896484375
2018-10-14,2882.52294921875
2018-10-15,9693.14453125
2018-10-16,8049.3310546875
2018-10-17,5611.94287109375
2018-10-18,6868.35400390625
2018-10-19,7532.30224609375
2018-10-20,5162.64453125
2018-10-21,3678.6689453125
2018-10-22,7632.04296875
2018-10-23,6074.79443359375
2018-10-24,5632.1015625
2018-10-25,6262.8876953125
2018-10-26,5544.39697265625
2018-10-27,3570.52392578125
2018-10-28,3141.4541015625
2018-10-29,6415.810546875
2018-10-30,4732.283203125
2018-10-31,5593.876953125
2018-11-01,5377.83154296875
2018-11-02,4432.82421875
2018-11-03,4141.4833984375
2018-11-04,1788.9454345703125
2018-11-05,5183.24267578125
2018-11-06,4691.82470703125
2018-11-07,5569.05126953125
2018-11-08,5102.80419921875
2018-11-09,3896.46728515625
2018-11-10,2439.5029296875
2018-11-11,2231.074462890625
2018-11-12,5419.890625
2018-11-13,5220.00830078125
2018-11-14,4629.38720703125
2018-11-15,4270.7451171875
2018-11-16,3950.564697265625
2018-11-17,3094.214111328125
2018-11-18,2511.64208984375
2018-11-19,7440.72216796875
2018-11-20,6454.5888671875
2018-11-21,5360.275390625
2018-11-22,5200.37646484375
2018-11-23,4468.7373046875
2018-11-24,2898.75830078125
2018-11-25,1770.1776123046875
2018-11-26,4277.857421875
2018-11-27,4633.05078125
2018-11-28,4443.61669921875
2018-11-29,3979.6240234375
2018-11-30,3509.963134765625
2018-12-01,3824.52587890625
2018-12-02,2005.5054931640625
2018-12-03,5605.6826171875
2018-12-04,4628.66748046875
2018-12-05,4998.80029296875
2018-12-06,4597.71142578125
2018-12-07,3952.2265625
2018-12-08,2076.13916015625
2018-12-09,2380.158935546875
2018-12-10,4757.70361328125
2018-12-11,4927.5205078125
2018-12-12,4684.66357421875
2018-12-13,4173.03759765625
2018-12-14,3659.8876953125
2018-12-15,3046.52978515625
2018-12-16,2562.320556640625
2018-12-17,5657.1787109375
2018-12-18,5357.58447265625
2018-12-19,4700.68505859375
2018-12-20,4001.1279296875
2018-12-21,3419.974365234375
2018-12-22,2282.617431640625
2018-12-23,1542.502197265625
2018-12-24,3055.14599609375
2018-12-25,2742.17626953125
2018-12-26,1693.5860595703125
2018-12-27,1781.9798583984375
2018-12-28,1816.997314453125
2018-12-29,1680.2352294921875
2018-12-30,1511.0416259765625
2018-12-31,3742.337158203125
